pX,pTX
p0,pT0
pA,pTa
pIS,pTis
pISU,pTispu
pISD,pTispd
p1MI,"pT1mi, pT1 mic"
p1,pT1
p1A,pT1a
p1A1,pT1a1
p1A2,pT1a2
p1B,pT1b
p1B1,pT1b1
p1B2,pT1b2
p1C,pT1c
p1D,pT1d
p2,pT2
p2A,pT2a
p2A1,pT2a1
p2A2,pT2a2
p2B,pT2b
p2C,pT2c
p2D,pT2d
p3,pT3
p3A,pT3a
p3B,pT3b
p3C,pT3c
p3D,pT3d
p4,pT4
p4A,pT4a
p4B,pT4b
p4C,pT4c
p4D,pT4d
p4E,pT4e
X,TX
0,T0
A,Ta
IS,Tis
ISPU,Tispu
ISPD,Tispd
1MI,"T1mi, T1 mic"
1,T1
1A,T1a
1A1,T1a1
1A2,T1a2
1B,T1b
1B1,T1b1
1B2,T1b2
1C,T1c
1D,T1d
2,T2
2A,T2a
2A1,T2a1
2A2,T2a2
2B,T2b
2C,T2c
2D,T2d
3,T3
3A,T3a
3B,T3b
3C,T3c
3D,T3d
4,T4
4A,T4a
4B,T4b
4C,T4c
4D,T4d
4E,T4e
88,Not applicable
Blank,Not Recorded
